timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1778521167.375201 0.00040398 -0.00034670 0.00584057 -0.00163493 -0.00142792 0.00090793
1778521167.441900 0.00034727 -0.00021975 0.00101243 -0.00157074 -0.00153083 0.00073163
1778521167.508601 0.00038111 -0.00020705 0.00250519 -0.00144237 -0.00156096 0.00063682
1778521167.575304 0.00080946 -0.00001241 0.00326140 -0.00143382 -0.00155863 0.00064427
1778521167.642009 0.00163444 0.00023608 0.00288446 -0.00133800 -0.00144037 0.00063720
1778521167.708715 0.00223350 0.00024558 0.00251911 -0.00125603 -0.00138645 0.00065814
1778521167.775424 0.00247368 0.00029595 0.00310666 -0.00121607 -0.00126742 0.00062550
1778521167.842133 0.00308200 0.00051431 0.00322697 -0.00109340 -0.00111968 0.00063559
1778521167.908845 0.00341621 0.00061515 0.00305366 -0.00102549 -0.00104079 0.00070474
1778521167.975558 0.00389703 0.00075026 0.00362667 -0.00092964 -0.00096635 0.00065643
1778521168.042274 0.00407941 0.00078693 0.00296442 -0.00089268 -0.00090785 0.00062392
1778521168.108990 0.00425378 0.00080105 0.00319278 -0.00086399 -0.00084377 0.00067329
1778521168.175707 0.00437470 0.00084915 0.00353216 -0.00077650 -0.00079907 0.00064631
1778521168.242622 0.00450679 0.00101866 0.00414295 -0.00065567 -0.00075679 0.00062568
1778521168.309548 0.00450679 0.00101866 0.00414295 -0.00065567 -0.00075679 0.00062568
1778521168.376485 0.00464219 0.00217556 0.00474101 -0.00051548 -0.00070110 0.00062982
1778521168.443434 0.00487357 0.00303372 0.00472703 -0.00045149 -0.00068152 0.00053261
1778521168.510394 0.00493564 0.00306571 0.00436521 -0.00045599 -0.00067541 0.00051784
1778521168.577365 0.00493564 0.00306571 0.00436521 -0.00045599 -0.00067541 0.00051784
1778521168.644347 0.00496293 0.00313038 0.00434203 -0.00046654 -0.00064280 0.00049764
1778521168.711341 0.00499503 0.00316338 0.00423907 -0.00047818 -0.00062923 0.00047077
1778521168.778346 0.00403305 0.00484888 0.00425671 -0.00049828 -0.00066024 0.00035071
1778521168.845362 0.00260666 0.00697314 0.00444326 -0.00044816 -0.00065700 0.00043545
1778521168.912390 0.00199947 0.00854337 0.00432408 -0.00044298 -0.00064188 0.00050646
1778521168.979429 0.00156664 0.01019122 0.00436580 -0.00042565 -0.00064811 0.00054101
1778521169.046479 0.00092875 0.01199014 0.00429872 -0.00041173 -0.00063885 0.00053197
1778521169.113540 0.00065215 0.01357872 0.00412151 -0.00039820 -0.00063124 0.00056046
1778521169.180608 0.00055472 0.01480114 0.00411933 -0.00038340 -0.00063526 0.00059019
1778521169.247348 0.00047402 0.01572713 0.00416916 -0.00038261 -0.00061129 0.00057771
1778521169.314204 0.00029565 0.01658411 0.00401802 -0.00039393 -0.00061456 0.00056295
1778521169.381068 0.00010633 0.01719094 0.00405103 -0.00038105 -0.00063756 0.00057970
1778521169.447937 -0.00007453 0.01761874 0.00407017 -0.00038831 -0.00061998 0.00056542
1778521169.514814 -0.00017259 0.01832369 0.00380558 -0.00037286 -0.00060613 0.00057106
1778521169.581697 -0.00030413 0.01910504 0.00365467 -0.00030988 -0.00059763 0.00060335
1778521169.648586 -0.00017601 0.01933394 0.00385404 -0.00027760 -0.00056798 0.00061336
1778521169.715482 -0.00022344 0.01997773 0.00347161 -0.00024576 -0.00054572 0.00061713
1778521169.782385 -0.00001607 0.02032637 0.00344498 -0.00021990 -0.00054000 0.00063118
1778521169.849294 0.00014149 0.02013715 0.00357252 -0.00023711 -0.00052294 0.00062529
1778521169.916210 -0.00003464 0.02010075 0.00320776 -0.00025978 -0.00050154 0.00060240
1778521169.983132 0.00000077 0.01977488 0.00310712 -0.00024908 -0.00048268 0.00060738
1778521170.050061 -0.00014970 0.01905820 0.00330700 -0.00024554 -0.00048817 0.00059552
1778521170.116997 -0.00039688 0.01870222 0.00305924 -0.00025344 -0.00048645 0.00060200
1778521170.183817 -0.00067616 0.01842204 0.00264205 -0.00025577 -0.00048108 0.00059180
1778521170.250527 -0.00084207 0.01769603 0.00282006 -0.00028558 -0.00046063 0.00055794
1778521170.317236 -0.00142768 0.01717777 0.00280776 -0.00027719 -0.00044879 0.00053783
1778521170.383946 -0.00135870 0.01667251 0.00255768 -0.00024820 -0.00042886 0.00052680
1778521170.450656 -0.00131751 0.01597077 0.00284950 -0.00023273 -0.00041498 0.00051600
1778521170.517366 -0.00115969 0.01518096 0.00276064 -0.00026534 -0.00039879 0.00050875
1778521170.584076 -0.00073776 0.01444840 0.00249017 -0.00023733 -0.00038579 0.00052506
1778521170.650786 -0.00051475 0.01351377 0.00274941 -0.00021445 -0.00038148 0.00052263
1778521170.717496 -0.00028685 0.01315397 0.00263239 -0.00020832 -0.00037197 0.00051170
1778521170.784205 0.00040226 0.01243309 0.00237308 -0.00020041 -0.00037329 0.00049473
1778521170.850915 0.00072905 0.01192868 0.00255423 -0.00019632 -0.00036561 0.00050940
1778521170.917625 0.00069945 0.01123410 0.00269375 -0.00021077 -0.00038848 0.00052071
1778521170.984335 0.00150620 0.01025137 0.00204909 -0.00021122 -0.00038865 0.00052130
1778521171.051044 0.00170147 0.00991690 0.00226567 -0.00021541 -0.00037676 0.00050897
1778521171.117754 0.00194686 0.00902928 0.00232943 -0.00021975 -0.00037276 0.00051667
1778521171.184464 0.00257470 0.00844413 0.00202931 -0.00021433 -0.00037040 0.00053692
1778521171.251175 0.00334049 0.00718240 0.00210043 -0.00020829 -0.00039318 0.00053749
1778521171.317887 0.00414295 0.00622236 0.00181845 -0.00023361 -0.00037675 0.00053449
1778521171.384598 0.00581232 0.00460346 0.00150658 -0.00023125 -0.00035561 0.00053864
1778521171.451309 0.00700363 0.00318243 0.00171108 -0.00019689 -0.00035570 0.00055838
1778521171.518020 0.00789645 0.00199542 0.00182652 -0.00019726 -0.00035351 0.00058120
1778521171.584732 0.00930000 0.00051070 0.00150988 -0.00019611 -0.00034923 0.00060425
1778521171.651443 0.01045166 -0.00080353 0.00155101 -0.00017566 -0.00033922 0.00063041
1778521171.718154 0.01097077 -0.00158395 0.00167316 -0.00017389 -0.00032987 0.00064009
1778521171.784866 0.01239120 -0.00342764 0.00130645 -0.00017630 -0.00033545 0.00063696
1778521171.851577 0.01381207 -0.00531441 0.00127990 -0.00015855 -0.00032689 0.00065385
1778521171.918288 0.01453802 -0.00686882 0.00141815 -0.00015787 -0.00032571 0.00066747
1778521171.984999 0.01540512 -0.00771890 0.00105198 -0.00017910 -0.00032328 0.00068473
1778521172.051711 0.01692465 -0.00967922 0.00108805 -0.00016241 -0.00031869 0.00070883
1778521172.118422 0.01682774 -0.01091931 0.00124416 -0.00017867 -0.00031164 0.00070849
