timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1764398762.262355 0.00001352 -0.00001056 -0.00021471 0.00022456 -0.00061984 -0.00142314
1764398762.329006 -0.00008513 0.00007529 0.00326901 -0.00017536 -0.00062070 -0.00144505
1764398762.395655 -0.00003469 0.00003461 0.00161808 -0.00029054 -0.00058833 -0.00129459
1764398762.462301 -0.00003851 0.00004848 0.00203526 -0.00023692 -0.00057039 -0.00117789
1764398762.528944 0.00002868 0.00006195 0.00113073 -0.00016888 -0.00058882 -0.00117360
1764398762.595584 0.00007116 0.00011507 0.00168631 -0.00018940 -0.00038458 -0.00119539
1764398762.662222 0.00007033 0.00011744 0.00221895 -0.00012397 -0.00037428 -0.00120080
1764398762.728857 0.00011617 0.00012032 0.00181879 -0.00004762 -0.00042457 -0.00124317
1764398762.795490 0.00014915 0.00014990 0.00172779 -0.00003307 -0.00042759 -0.00130406
1764398762.862120 0.00018593 0.00017660 0.00178213 0.00000528 -0.00037529 -0.00123850
1764398762.928747 0.00012995 0.00010645 0.00213709 -0.00007490 -0.00046079 -0.00115205
1764398762.995372 0.00014420 0.00009108 0.00180511 -0.00010166 -0.00046456 -0.00114328
1764398763.061994 0.00022039 0.00017210 0.00171337 0.00003071 -0.00041795 -0.00115795
1764398763.128707 0.00018758 0.00013352 0.00202122 0.00009634 -0.00045766 -0.00113884
1764398763.195321 0.00023699 0.00013964 0.00170434 0.00009424 -0.00045955 -0.00112161
1764398763.261933 0.00024958 0.00010115 0.00200984 0.00005929 -0.00044372 -0.00110328
1764398763.328542 0.00014811 -0.00004176 0.00237591 0.00004310 -0.00045055 -0.00104775
1764398763.395147 0.00013615 -0.00008200 0.00226634 0.00008304 -0.00043978 -0.00104620
1764398763.461750 0.00010190 -0.00012486 0.00230793 0.00004913 -0.00045411 -0.00112339
1764398763.528350 0.00014442 -0.00007942 0.00199628 -0.00001622 -0.00041575 -0.00121240
1764398763.594947 0.00009988 -0.00025633 0.00279593 0.00002022 -0.00041836 -0.00117511
1764398763.661541 0.00008174 -0.00029396 0.00264281 0.00006561 -0.00041251 -0.00117058
1764398763.728132 -0.00005858 -0.00037550 0.00297001 0.00009443 -0.00042913 -0.00117654
1764398763.794720 -0.00000049 -0.00046385 0.00264661 0.00005641 -0.00041763 -0.00115412
1764398763.861305 -0.00014432 -0.00047932 0.00297385 0.00003598 -0.00038903 -0.00114118
1764398763.927888 -0.00017175 -0.00067827 0.00317260 0.00005774 -0.00038746 -0.00110158
1764398763.994467 -0.00017172 -0.00076113 0.00306580 0.00004841 -0.00036710 -0.00106818
1764398764.061044 -0.00013228 -0.00086092 0.00292207 0.00000490 -0.00031359 -0.00106257
1764398764.127620 -0.00021736 -0.00098124 0.00340459 0.00000816 -0.00028435 -0.00103093
1764398764.194300 -0.00046023 -0.00085957 0.00303211 0.00002516 -0.00027579 -0.00103506
1764398764.260879 -0.00066523 -0.00097148 0.00343661 0.00001781 -0.00027307 -0.00106736
1764398764.327455 -0.00102249 -0.00137658 0.00366443 0.00001802 -0.00028867 -0.00107264
1764398764.394027 -0.00099953 -0.00162871 0.00334777 0.00002277 -0.00028164 -0.00106262
1764398764.460597 -0.00098875 -0.00174636 0.00326773 0.00000781 -0.00026990 -0.00105079
1764398764.527163 -0.00105739 -0.00179278 0.00324316 -0.00002269 -0.00024110 -0.00105208
1764398764.593727 -0.00105984 -0.00180501 0.00328206 -0.00002790 -0.00019678 -0.00105109
1764398764.660287 -0.00152028 -0.00184668 0.00329730 -0.00003323 -0.00017393 -0.00105855
1764398764.726844 -0.00138478 -0.00211010 0.00343461 -0.00003763 -0.00016672 -0.00105710
1764398764.793398 -0.00134284 -0.00253106 0.00379858 0.00001583 -0.00016684 -0.00104323
1764398764.859949 -0.00172809 -0.00362021 0.00400952 0.00003439 -0.00018917 -0.00102099
1764398764.926497 -0.00171482 -0.00383421 0.00362990 0.00002570 -0.00020983 -0.00100751
1764398764.993042 -0.00218840 -0.00425377 0.00405790 -0.00001960 -0.00019369 -0.00100330
1764398765.059584 -0.00272946 -0.00474879 0.00366461 -0.00006124 -0.00018483 -0.00098453
1764398765.126123 -0.00294574 -0.00505440 0.00381528 -0.00002755 -0.00017238 -0.00097559
1764398765.192671 -0.00399438 -0.00605684 0.00386663 -0.00001944 -0.00016924 -0.00097965
1764398765.259222 -0.00404175 -0.00618224 0.00373494 -0.00004534 -0.00016497 -0.00095578
1764398765.325771 -0.00438974 -0.00649136 0.00397330 -0.00002764 -0.00018049 -0.00095128
1764398765.392316 -0.00456265 -0.00685187 0.00399467 -0.00003686 -0.00018376 -0.00095336
1764398765.458858 -0.00507634 -0.00727749 0.00370970 -0.00001339 -0.00016675 -0.00095990
1764398765.525397 -0.00511731 -0.00744993 0.00359868 0.00000599 -0.00013607 -0.00097207
1764398765.591932 -0.00530938 -0.00758795 0.00368383 -0.00002545 -0.00010117 -0.00097855
1764398765.658465 -0.00592240 -0.00834604 0.00366493 -0.00006011 -0.00007174 -0.00098470
1764398765.724994 -0.00695617 -0.00867229 0.00383825 -0.00004786 -0.00007778 -0.00097716
1764398765.791521 -0.00788078 -0.00918004 0.00388914 -0.00004232 -0.00009067 -0.00097828
1764398765.858043 -0.00833360 -0.00955944 0.00359258 -0.00005551 -0.00008505 -0.00098071
1764398765.924563 -0.00837154 -0.00975969 0.00355867 -0.00006155 -0.00006842 -0.00098644
1764398765.991080 -0.00910669 -0.01014718 0.00361420 -0.00005230 -0.00007376 -0.00099133
1764398766.057594 -0.00930018 -0.01033758 0.00351938 -0.00006118 -0.00007993 -0.00099853
1764398766.124104 -0.00957643 -0.01072698 0.00349919 -0.00009636 -0.00007208 -0.00101525
1764398766.190627 -0.00957643 -0.01072698 0.00349919 -0.00009636 -0.00007208 -0.00101525
1764398766.257159 -0.00982145 -0.01069553 0.00345107 -0.00009090 -0.00006195 -0.00103274
1764398766.323688 -0.00968943 -0.01060399 0.00310891 -0.00009593 -0.00002936 -0.00102984
1764398766.390213 -0.00984326 -0.01063885 0.00357917 -0.00011347 -0.00004105 -0.00102249
1764398766.456735 -0.00922864 -0.00985611 0.00329949 -0.00007883 -0.00005663 -0.00100751
1764398766.523253 -0.00914082 -0.00977374 0.00325426 -0.00004949 -0.00005781 -0.00101426
1764398766.589769 -0.01060498 -0.00960184 0.00323434 -0.00008055 -0.00003966 -0.00102848
1764398766.656281 -0.01223099 -0.00986632 0.00331971 -0.00012993 -0.00006346 -0.00104766
1764398766.722791 -0.01485570 -0.00909010 0.00312949 -0.00014684 -0.00008788 -0.00106114
1764398766.789297 -0.01454295 -0.00919135 0.00285452 -0.00013956 -0.00008028 -0.00105280
1764398766.855800 -0.01463835 -0.00934191 0.00306799 -0.00010682 -0.00008434 -0.00104278
1764398766.922300 -0.01438345 -0.00944157 0.00287915 -0.00009345 -0.00009622 -0.00104918
1764398766.988796 -0.01446627 -0.01046243 0.00306730 -0.00010325 -0.00011169 -0.00106018
1764398767.055290 -0.01449298 -0.01061898 0.00295085 -0.00011529 -0.00011989 -0.00106818
1764398767.121780 -0.01408438 -0.01123333 0.00291205 -0.00012038 -0.00011446 -0.00106905
1764398767.188287 -0.01203393 -0.01114305 0.00281229 -0.00010204 -0.00011230 -0.00107355
1764398767.254804 -0.01166997 -0.01133544 0.00298346 -0.00010066 -0.00012628 -0.00106848
1764398767.321318 -0.01064939 -0.01175585 0.00278393 -0.00011709 -0.00014214 -0.00106293
